ID,SERIAL,Brand_CODE,MODEL_CODE,SUBMODEL_CODE,Vehicle_Brand,Vehicle_model,Vehicle_submodel,VH_YEAR_BEG,VH_YEAR_END,COVER_01_FLAG,COVER_PLUS_FLAG,VEHICLE_MARKET_GROUP,SEDAN_TYPE,SELL_STAT,SUBMODEL_YEAR,EFFECT_DATE,SCALE,WEIGHT,CC,SEAT_NO,CHASSIS_NO_FORMAT,ENGINE_NO_FORMAT,STANDARD_SUMINS,STANDARD_THEFT,80_SUMINS,CAR_GROUP,OLD_STD_SUMINS,OLD_STD_THEFT,CREATE_MODIFY_DATE,CREATE_ID,MODIFY_ID,MODIFY_TIME,MODEL_STATUS,rbm_serial,Redbook_Code
2732,01VA0000033,01,65,VA,TOYOTA,SOLUNA,SOLUNA VIOS. GT STREET 1.5,2018,2018,Y,Y,02,4,A,2018,30-09-2022,CC,,1500.00,7,,,460500,460500,370000,5,469500,469500,20-09-2022,570055,REDBOOK,14:32,N,      51311,TOYO18EM
2733,01VB0000033,01,14,VB,TOYOTA,CAMRY,CAMRY 2.0 G,2018,2021,Y,Y,02,1,A,2018,30-09-2022,CC,,2000.00,7,,,962500,962500,770000,3,1032500,1032500,20-09-2022,570055,REDBOOK,14:33,N,      51580,TOYO18FL
2734,01VB0000033,01,14,VB,TOYOTA,CAMRY,CAMRY 2.0 G,2018,2021,Y,Y,02,1,A,2019,30-09-2022,CC,,2000.00,7,,,997000,997000,800000,3,1059000,1059000,20-09-2022,570055,REDBOOK,14:33,N,      51599,TOYO19AL
2735,01VB0000033,01,14,VB,TOYOTA,CAMRY,CAMRY 2.0 G,2018,2021,Y,Y,02,1,A,2020,30-09-2022,CC,,2000.00,7,,,1072500,1072500,860000,3,1139500,1139500,20-09-2022,570055,REDBOOK,14:33,N,      53217,TOYO20AU
2736,01VB0000033,01,14,VB,TOYOTA,CAMRY,CAMRY 2.0 G,2018,2021,Y,Y,02,1,A,2021,30-09-2022,CC,,2000.00,7,,,1164500,1164500,930000,3,1188500,1188500,20-09-2022,570055,REDBOOK,14:35,N,      54227,TOYO21BM
2737,01VC0000033,01,14,VC,TOYOTA,CAMRY,CAMRY 2.5 G,2018,2021,Y,Y,02,1,A,2018,30-09-2022,CC,,2500.00,7,,,1078000,1078000,860000,3,1156500,1156500,20-09-2022,570055,REDBOOK,14:33,N,      51581,TOYO18FM
2738,01VC0000033,01,14,VC,TOYOTA,CAMRY,CAMRY 2.5 G,2018,2021,Y,Y,02,1,A,2019,30-09-2022,CC,,2500.00,7,,,1106000,1106000,880000,3,1174500,1174500,20-09-2022,570055,REDBOOK,14:33,N,      51600,TOYO19AM
2739,01VC0000033,01,14,VC,TOYOTA,CAMRY,CAMRY 2.5 G,2018,2021,Y,Y,02,1,A,2020,30-09-2022,CC,,2500.00,7,,,1176000,1176000,940000,3,1249000,1249000,20-09-2022,570055,REDBOOK,14:33,N,      53218,TOYO20AV
2740,01VC0000033,01,14,VC,TOYOTA,CAMRY,CAMRY 2.5 G,2018,2021,Y,Y,02,1,A,2021,30-09-2022,CC,,2500.00,7,,,1277000,1277000,1000000,3,1303000,1303000,20-09-2022,570055,REDBOOK,14:35,N,      54228,TOYO21BN
2741,01VD0000033,01,14,VD,TOYOTA,CAMRY,CAMRY 2.5 HV,2018,2021,Y,Y,02,H,A,2018,30-09-2022,CC,,2500.00,7,,,1119000,1119000,900000,3,1201000,1201000,20-09-2022,570055,REDBOOK,14:33,N,      51582,TOYO18FN
