ID,Commission_Code,Valid_start,Valid_End,Product_Code,Product_Name,INC_Code,Insure_Type,Company_Insure_Type,Categories,Sub_Categories,Sub_Categories2,Main_Rider,minAge,maxAge,minSumAssure,maxSumAssure,maxRAR,minRAR,ComCommission,ComCommission_2,ComCommission_3,ComCommission_4,ComCommission_5,ComCommission_6,ComCommission_7,ComCommission_8,ComCommission_9,ComCommission_10,ComCommission_11Up,AgCommission,AgCommission_2,AgCommission_3,AgCommission_4,AgCommission_5,AgCommission_6,AgCommission_7,AgCommission_8,AgCommission_9,AgCommission_10,AgCommission_11Up,InCommission,InCommission_2,InCommission_3,InCommission_4,InCommission_5,InCommission_6,InCommission_7,InCommission_8,InCommission_9,InCommission_10,InCommission_11Up
719,CMTLI00090001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0009,H&S เหมาจ่าย (ไทยประกันชีวิต),TLI,Life,1,ประเภทสามัญ,อนุสัญญา,Rider,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
720,CMTLI0011001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0011,OPD (ไทยประกันชีวิต),TLI,Life,1,ประเภทสามัญ,อนุสัญญา,Rider,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
721,CMTLI0012001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0012,HB (ไทยประกันชีวิต),TLI,Life,1,ประเภทสามัญ,อนุสัญญา,Rider,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
722,CMTLI0013001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0013,AHB (ไทยประกันชีวิต),TLI,Life,1,ประเภทสามัญ,อนุสัญญา,Rider,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
723,CMTLI0014001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0014,Term 5/5 (ไทยประกันชีวิต),TLI,Life,1,ประเภทสามัญ,อนุสัญญา,Rider,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
724,CMTLI0015001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0015,"Term 10/10, 15/15, 19/19 (ไทยประกันชีวิต)",TLI,Life,1,ประเภทสามัญ,อนุสัญญา,Rider,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
730,CMTLI0017001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0017,อุบัติเหตุ อ.บ. 3,TLI,Life,1,ประเภทสามัญ,อนุสัญญา,Rider,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
783,CMTLI0018001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0018,T-Life ประกัน MRTA คุ้มครองสินเชื่อเพื่อประชาชน,TNL,Life,1,ประเภทสามัญ,อนุสัญญา,Rider,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,CMTLI0019001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0019,T-Life  Super Saving 3/1 (TNL),TNL,Life,1,ประเภทสามัญ,อนุสัญญา,Rider,Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,CMTLI0020001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDTLI0020,คุ้มธนกิจ 99/99 (ไทยประกันชีวิต),TLI,Life,1,ประเภทสามัญ,ประกันตลอดชีพ,Life,Main,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,
